Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-04-02,27.8,28.0,27.4,27.9,27.95,3550474.0,984.68
2018-04-03,27.85,29.35,27.75,29.05,29.05,7959679.0,2287.93
2018-04-04,29.05,29.4,28.45,28.45,28.55,8094785.0,2335.3
2018-04-05,28.7,29.1,28.35,28.95,28.75,4631436.0,1328.31
2018-04-06,29.0,29.0,28.35,28.5,28.55,3424377.0,976.02
2018-04-09,28.55,28.8,28.5,28.65,28.7,2130247.0,610.28
2018-04-10,28.8,28.8,28.3,28.5,28.6,5814065.0,1660.78
2018-04-11,28.6,28.7,28.1,28.15,28.2,4134571.0,1168.21
2018-04-12,28.3,28.3,27.65,27.7,27.7,5624878.0,1565.68
2018-04-13,27.7,27.75,27.25,27.45,27.45,4057649.0,1113.98
2018-04-16,27.4,27.5,27.15,27.45,27.4,3661855.0,1000.87
2018-04-17,27.6,27.75,27.35,27.4,27.4,3895755.0,1072.98
2018-04-18,27.85,27.85,27.15,27.3,27.3,4120099.0,1126.53
2018-04-19,27.35,28.15,27.1,28.1,28.0,6264790.0,1732.18
2018-04-20,28.05,28.25,27.8,28.0,28.1,6302003.0,1767.6
2018-04-23,28.1,28.5,27.85,28.2,28.15,4794847.0,1350.86
2018-04-24,28.15,28.3,27.4,27.55,27.5,3121823.0,867.07
2018-04-25,27.45,27.7,27.15,27.5,27.5,2839103.0,777.85
2018-04-26,27.4,27.95,27.15,27.85,27.6,16750736.0,4620.54
2018-04-27,27.9,28.6,27.85,28.1,28.2,7675153.0,2167.19
2018-04-30,28.2,28.7,28.15,28.55,28.45,5922196.0,1685.49
2018-05-02,28.35,28.75,28.0,28.15,28.2,4250760.0,1206.09
2018-05-03,28.0,28.3,27.8,28.2,28.2,2672372.0,750.3
2018-05-04,28.2,28.4,27.7,27.8,27.85,1490408.0,416.91
2018-05-07,27.9,28.0,27.8,27.85,27.9,1367028.0,381.37
2018-05-08,27.95,28.45,27.9,28.15,28.15,2607504.0,734.92
2018-05-09,28.25,28.45,28.1,28.35,28.35,2945095.0,833.16
2018-05-10,28.35,28.4,27.8,27.85,27.85,4557399.0,1275.01
2018-05-11,27.85,28.2,27.5,27.55,27.6,5415588.0,1509.9
2018-05-14,27.6,27.6,27.05,27.35,27.3,5068510.0,1382.96
2018-05-15,27.3,27.5,26.6,26.75,26.7,4749007.0,1285.3
2018-05-16,26.7,26.7,26.05,26.35,26.4,4928840.0,1300.05
2018-05-17,26.4,26.6,26.2,26.5,26.45,2674835.0,706.22
2018-05-18,26.55,27.1,25.85,26.2,26.1,8120428.0,2149.85
2018-05-21,26.2,26.6,25.95,26.1,26.1,4461091.0,1171.1
2018-05-22,26.1,26.6,26.1,26.5,26.55,3669767.0,969.84
2018-05-23,26.5,27.25,26.3,27.05,27.05,7955395.0,2147.34
2018-05-24,27.1,27.25,26.5,26.55,26.6,6445048.0,1724.82
2018-05-25,26.6,27.4,26.4,26.95,27.05,5446933.0,1469.52
2018-05-28,27.15,27.25,26.9,26.9,27.0,4620111.0,1249.24
2018-05-29,27.1,27.55,26.45,26.65,26.7,7755998.0,2091.45
2018-05-30,26.5,26.8,26.4,26.65,26.6,3559171.0,945.25
2018-05-31,26.6,26.75,26.3,26.6,26.5,5556220.0,1471.88
2018-06-01,26.5,26.8,26.15,26.75,26.7,3124753.0,828.87
2018-06-04,26.85,26.9,26.05,26.25,26.15,3748353.0,987.02
2018-06-05,26.25,26.6,25.65,26.3,26.2,8009200.0,2075.93
2018-06-06,26.3,26.65,26.05,26.5,26.55,2755001.0,726.94
2018-06-07,26.5,26.9,26.4,26.85,26.55,2706292.0,719.89
2018-06-08,26.65,26.8,26.3,26.5,26.55,4203003.0,1116.19
2018-06-11,26.55,27.1,26.45,26.6,26.6,8761693.0,2341.44
2018-06-12,26.6,26.9,26.4,26.85,26.75,6796531.0,1814.59
2018-06-13,26.8,27.05,26.25,26.25,26.35,4511038.0,1200.53
2018-06-14,26.35,26.45,25.95,25.95,26.0,5162065.0,1347.85
2018-06-15,26.1,26.1,25.65,25.8,25.75,5806490.0,1497.82
2018-06-18,25.8,25.85,25.5,25.5,25.6,2569123.0,657.96
2018-06-19,25.55,25.55,25.1,25.4,25.3,4082154.0,1031.05
2018-06-20,25.35,25.5,25.05,25.2,25.25,5161525.0,1299.83
2018-06-21,25.25,25.45,24.9,24.95,25.0,3856661.0,966.84
2018-06-22,25.0,25.05,24.75,24.85,24.95,3699963.0,921.88
2018-06-25,24.9,25.1,24.5,24.6,24.6,4345897.0,1073.22
2018-06-26,24.7,24.95,24.5,24.9,24.7,7253425.0,1788.76
2018-06-27,24.65,24.65,24.0,24.05,24.2,8940609.0,2174.27
2018-06-28,24.05,24.1,22.35,22.55,22.55,14447819.0,3309.56
2018-06-29,23.0,23.55,22.75,23.5,23.45,5078399.0,1181.25
2018-07-02,23.4,23.5,22.6,22.8,22.85,11056709.0,2523.64
2018-07-03,22.95,23.0,22.6,22.85,22.8,5871780.0,1337.69
2018-07-04,22.8,23.25,22.6,23.2,22.95,4753762.0,1082.15
2018-07-05,23.1,23.65,22.9,23.05,23.05,5119716.0,1184.44
2018-07-06,23.1,23.5,23.0,23.4,23.35,4465338.0,1038.07
2018-07-09,23.4,24.2,23.4,24.1,24.05,8614178.0,2063.67
2018-07-10,24.1,24.4,23.85,24.25,24.3,5613364.0,1356.84
2018-07-11,24.15,24.2,23.85,24.15,24.15,4255381.0,1024.74
2018-07-12,24.15,24.4,23.9,24.0,24.0,4226577.0,1019.83
2018-07-13,24.0,24.1,23.55,23.85,23.85,4244450.0,1013.04
2018-07-16,23.85,24.05,22.9,23.9,23.9,8713880.0,2052.58
2018-07-17,23.9,24.0,23.4,23.85,23.85,4843177.0,1148.23
2018-07-18,23.9,23.95,23.55,23.7,23.65,6106584.0,1447.43
2018-07-19,23.7,23.7,23.05,23.1,23.15,2276222.0,530.54
2018-07-20,23.1,23.4,22.85,23.2,23.25,3966801.0,919.73
2018-07-23,23.0,23.35,23.0,23.25,23.25,3453191.0,801.7
2018-07-24,23.25,25.5,23.2,24.05,24.1,13993650.0,3420.95
2018-07-25,24.25,24.9,23.95,24.6,24.55,6619912.0,1623.87
2018-07-26,24.55,24.75,24.1,24.35,24.25,7977071.0,1938.4
2018-07-27,24.35,24.45,23.95,24.05,24.1,2988447.0,722.21
2018-07-30,24.1,24.3,23.75,24.0,24.05,5830242.0,1397.7
2018-07-31,24.05,24.05,23.6,23.75,23.75,6994455.0,1662.49
2018-08-01,23.85,23.85,23.2,23.55,23.55,4002484.0,941.79
2018-08-02,23.5,24.05,23.4,24.0,23.9,2623816.0,623.65
2018-08-03,24.0,24.3,23.95,24.2,24.15,2107031.0,507.82
2018-08-06,24.2,24.3,24.1,24.15,24.2,1839490.0,445.11
2018-08-07,24.1,24.75,24.1,24.65,24.55,3184838.0,777.54
2018-08-08,24.5,24.8,24.45,24.6,24.6,2620108.0,644.24
2018-08-09,24.4,24.85,24.35,24.45,24.5,1785661.0,438.69
2018-08-10,24.35,25.2,24.35,24.9,24.95,5717799.0,1425.44
2018-08-13,24.8,25.0,24.05,24.95,24.85,7603737.0,1882.95
2018-08-14,24.7,25.25,24.5,25.25,25.0,2877018.0,716.52
2018-08-16,24.95,25.2,24.75,24.9,24.85,3153366.0,788.08
2018-08-17,25.0,25.7,24.9,25.65,25.45,3934424.0,991.7
2018-08-20,25.6,26.1,25.5,25.8,25.8,5805133.0,1499.35
2018-08-21,25.9,26.1,25.6,25.7,25.75,2758676.0,712.15
2018-08-23,25.7,26.0,25.4,25.9,25.8,3002896.0,771.13
2018-08-24,25.8,25.9,25.25,25.35,25.4,1593709.0,407.74
2018-08-27,25.4,25.6,25.25,25.45,25.3,1541072.0,390.91
2018-08-28,25.25,25.5,25.1,25.15,25.15,1621385.0,410.16
2018-08-29,25.15,25.35,25.05,25.3,25.2,1992491.0,503.01
2018-08-30,25.3,25.3,24.85,25.0,24.95,5599545.0,1402.45
2018-08-31,25.0,25.45,25.0,25.4,25.35,2893779.0,730.5
2018-09-03,25.35,25.8,25.2,25.5,25.5,1957510.0,499.85
2018-09-04,25.75,25.75,25.0,25.0,25.1,2920106.0,738.03
2018-09-05,24.9,25.15,24.55,25.05,25.0,3137652.0,778.59
2018-09-06,25.0,25.5,24.9,25.3,25.4,2270387.0,572.66
2018-09-07,25.45,27.2,25.3,26.0,25.95,6216392.0,1629.39
2018-09-10,26.0,26.0,25.05,25.2,25.15,3926543.0,997.08
2018-09-11,25.3,25.4,24.85,24.95,24.9,1669743.0,419.64
2018-09-12,24.7,24.9,24.5,24.75,24.7,1474116.0,363.62
2018-09-14,24.75,25.05,24.6,24.9,24.85,3297508.0,818.19
2018-09-17,24.85,24.85,24.55,24.55,24.6,1377740.0,340.04
2018-09-18,24.6,24.8,24.25,24.3,24.3,1995840.0,487.65
2018-09-19,24.3,24.4,23.9,24.2,24.15,3318511.0,799.73
2018-09-21,24.25,24.5,22.9,23.8,23.75,7241424.0,1718.97
2018-09-24,23.75,23.95,23.15,23.25,23.25,2663961.0,624.87
2018-09-25,23.25,23.6,22.95,23.45,23.55,2206745.0,514.65
2018-09-26,23.5,23.6,23.3,23.5,23.45,1930273.0,452.72
2018-09-27,23.4,23.55,22.8,22.9,22.9,2758395.0,636.72
2018-09-28,23.1,23.15,22.25,22.7,22.6,6075801.0,1368.58
